analysis_neighborhood,year,median_value,mean_value,total_units,parcel_count,median_stories,median_bedrooms,median_year_built,pct_residential,is_soma,is_potrero_hill,is_hayes_valley,is_civic_center,post_van_ness,log_median_value,density,building_age,crime_rate,violent_rate,property_rate,median_hh_income,log_income,post_soma_dev,soma_x_post,potrero_x_post,van_ness_treated,van_ness_x_post
Glen Park,2019,571910.0,806280.1448582166,3487.0,2927,1.0,0.0,1939.0,0.9798428425008541,0,0,0,0,1,13.256736915324938,1.191322172873249,80.0,82.99834476235516,3.6651690707022935,50.13005438637976,,,1,0,0,0,0
Glen Park,2020,602855.0,861081.59685685,3485.0,2927,1.0,0.0,1939.0,0.9798428425008541,0,0,0,0,1,13.309431982448194,1.1906388793987017,81.0,84.29888862615276,7.448569401749823,51.07590446914164,,,1,0,0,0,0
Glen Park,2021,637283.0,897479.0525776716,3481.0,2929,1.0,0.0,1940.0,0.9795151928986002,0,0,0,0,1,13.364969105911296,1.1884602253328782,81.0,85.4812012296051,5.793331756916529,53.79522345708206,,,1,0,0,0,0
Glen Park,2022,676239.5,954526.8888130969,3483.0,2932,1.0,1.0,1940.0,0.9798772169167803,0,0,0,0,1,13.424302582220069,1.1879263301500682,82.0,88.43698273823598,5.911563017261764,55.80515488295106,,,1,0,0,0,0
Glen Park,2023,709952.0,1016329.5327421555,3485.0,2932,1.0,1.0,1940.0,0.980218281036835,0,0,0,0,1,13.472952641098331,1.1886084583901773,83.0,87.25467013478364,5.083944194845118,54.85930480018917,,,1,0,0,0,0
Golden Gate Park,2009,1983610.5,1983610.5,42.0,2,2.5,0.0,1912.0,0.0,0,0,0,0,0,14.500429226989034,21.0,97.0,,,,,,0,0,0,0,0
Golden Gate Park,2010,1978909.5,1978909.5,42.0,2,2.5,0.0,1912.0,0.0,0,0,0,0,0,14.498056493372296,21.0,98.0,,,,,,0,0,0,0,0
Golden Gate Park,2011,1993806.5,1993806.5,42.0,2,2.5,0.0,1912.0,0.0,0,0,0,0,0,14.505556183671755,21.0,99.0,,,,,,0,0,0,0,0
Golden Gate Park,2012,2033681.0,2033681.0,42.0,2,2.5,0.0,1912.0,0.0,0,0,0,0,0,14.525358009465956,21.0,100.0,,,,,,0,0,0,0,0
Golden Gate Park,2013,2074352.0,2074352.0,42.0,2,2.5,0.0,1912.0,0.0,0,0,0,0,0,14.545159373717896,21.0,101.0,,,,,,0,0,0,0,0
Golden Gate Park,2015,2125398.5,2125398.5,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.569469872170977,21.0,103.0,,,,,,1,0,0,0,0
Golden Gate Park,2016,2157809.0,2157809.0,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.584603913005498,21.0,104.0,,,,,,1,0,0,0,0
Golden Gate Park,2017,2200963.5,2200963.5,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.604405776999899,21.0,105.0,,,,,,1,0,0,0,0
Golden Gate Park,2018,2244981.5,2244981.5,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.624207838590017,21.0,106.0,81320.0,3520.0,44600.0,,,1,0,0,0,0
Golden Gate Park,2019,2289879.0,2289879.0,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.644009535706475,21.0,107.0,77400.0,3440.0,46240.0,,,1,0,0,0,0
Golden Gate Park,2020,2335674.0,2335674.0,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.663811058397057,21.0,108.0,55400.0,2280.0,35360.0,,,1,0,0,0,0
Golden Gate Park,2021,2359833.5,2359833.5,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.674101623665507,21.0,109.0,74200.0,2760.0,50200.0,,,1,0,0,0,0
Golden Gate Park,2022,2356978.5,2356978.5,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.67289106011171,21.0,110.0,74400.0,2840.0,50520.0,,,1,0,0,0,0
Golden Gate Park,2023,2404116.0,2404116.0,42.0,2,2.5,0.0,1912.0,0.5,0,0,0,0,1,14.692692826384915,21.0,111.0,75680.0,2600.0,51880.0,,,1,0,0,0,0
Haight Ashbury,2009,539374.0,694484.0294365012,8480.0,3567,2.0,0.0,1906.0,0.9596299411269975,0,0,0,0,0,13.198164486820428,2.3773479114101486,103.0,,,,,,0,0,0,0,0
Haight Ashbury,2010,566510.0,717903.1786212671,8446.0,3583,2.0,0.0,1906.0,0.959810214903712,0,0,0,0,0,13.247250011545061,2.357242534189227,104.0,,,,,,0,0,0,0,0
Haight Ashbury,2011,589973.5,741475.9994478188,8389.0,3622,2.0,0.0,1906.0,0.9610712313638874,0,0,0,0,0,13.287832899618945,2.316123688569851,105.0,,,,,,0,0,0,0,0
Haight Ashbury,2012,611708.0,767040.8158616904,8357.0,3644,2.0,0.0,1906.0,0.9610318331503842,0,0,0,0,0,13.324010323451494,2.293358946212953,106.0,,,,,,0,0,0,0,0
Haight Ashbury,2013,649895.0,805554.8228400109,8302.0,3669,2.0,0.0,1906.0,0.9621150177159989,0,0,0,0,0,13.384566090361538,2.262741891523576,107.0,,,,92518.50110598496,11.435163915457386,0,0,0,0,0
Haight Ashbury,2015,703962.0,877779.1587855992,8214.0,3722,2.0,0.0,1906.0,0.9656098871574422,0,0,0,0,1,13.464479656410626,2.2068780225685116,109.0,,,,104196.95666604044,11.554038201215,1,0,0,0,0
Haight Ashbury,2016,729639.0,916074.7210164109,8136.0,3778,2.0,0.0,1906.0,0.9677077818951826,0,0,0,0,1,13.500305170261015,2.15352038115405,110.0,,,,121741.18489551508,11.709652635001332,1,0,0,0,0
Haight Ashbury,2017,770801.0,985159.6660535996,8096.0,3806,2.0,0.0,1906.0,0.9676826064109301,0,0,0,0,1,13.555185512874905,2.1271676300578033,111.0,,,,136071.83555448352,11.820938227874791,1,0,0,0,0
Haight Ashbury,2018,827924.0,1068481.8430962344,8093.0,3824,2.0,0.0,1906.0,0.9680962343096234,0,0,0,0,1,13.626676641715058,2.116370292887029,112.0,146.962879640045,9.898762654668166,69.12260967379078,149718.18208039275,11.916510019815293,1,0,0,0,0
Haight Ashbury,2019,874651.0,1151607.797597284,8096.0,3829,2.0,0.0,1906.0,0.969182554191695,0,0,0,0,1,13.681580228632226,2.1143901802037086,113.0,129.19010123734537,7.424071991001125,56.2429696287964,167086.53459042488,12.026267128394704,1,0,0,0,0
Haight Ashbury,2020,924525.0,1219519.0392615704,8073.0,3846,2.0,0.0,1906.0,0.96931877275091,0,0,0,0,1,13.73703537108783,2.0990639625585024,114.0,109.78627671541058,5.624296962879639,64.0607424071991,185401.8877357639,12.130281114024106,1,0,0,0,0
Haight Ashbury,2021,951728.0,1258113.6494417035,8078.0,3851,2.0,0.0,1906.0,0.9696182809659829,0,0,0,0,1,13.766034558663685,2.0976369774084653,115.0,114.34195725534308,6.074240719910011,69.91001124859393,190610.47337941345,12.157987218217299,1,0,0,0,0
Haight Ashbury,2022,1005518.0,1332301.023285899,8050.0,3865,2.0,0.0,1906.0,0.969987063389392,0,0,0,0,1,13.821013389576136,2.0827943078913327,116.0,103.93700787401576,6.974128233970754,64.39820022497187,204921.77817632625,12.23038361543266,1,0,0,0,0
Haight Ashbury,2023,1079137.0,1413895.3283389306,8045.0,3871,2.0,0.0,1906.0,0.969258589511754,0,0,0,0,1,13.891672205596464,2.078274347713769,117.0,95.95050618672666,6.411698537682789,58.71766029246344,212611.13247496425,12.267220106994909,1,0,0,0,0
Hayes Valley,2009,259810.0,506774.18495620816,9340.0,3882,1.0,0.0,1908.0,0.6239052035033488,0,0,1,0,0,12.467705873624908,2.405976300875837,101.0,,,,,,0,0,0,1,0
Hayes Valley,2010,269400.0,517174.9776694045,9319.0,3896,1.0,0.0,1908.0,0.6257700205338809,0,0,1,0,0,12.5039525429584,2.3919404517453797,102.0,,,,,,0,0,0,1,0
Hayes Valley,2011,274254.0,528279.7227820103,9335.0,4069,1.0,0.0,1909.0,0.6247235192922094,0,0,1,0,0,12.521809963263566,2.294175473089211,102.0,,,,,,0,0,0,1,0
Hayes Valley,2012,292212.0,550909.3731051345,9295.0,4090,1.0,0.0,1909.0,0.626161369193154,0,0,1,0,0,12.585234845217286,2.272616136919315,103.0,,,,,,0,0,0,1,0
Hayes Valley,2013,300256.0,574492.1531181752,9294.0,4121,1.0,0.0,1909.0,0.6282455714632371,0,0,1,0,0,12.612390723089776,2.255277845183208,104.0,,,,108716.64332247556,11.596500173831064,0,0,0,1,0
Hayes Valley,2015,353396.0,668524.8758434547,9327.0,4446,1.0,0.0,1913.0,0.6549707602339181,0,0,1,0,1,12.775344520184548,2.0978407557354926,102.0,,,,116840.5757486788,11.668565684157105,1,0,0,1,1
Hayes Valley,2016,386248.5,736136.027284827,9281.0,4508,1.0,0.0,1913.0,0.660603371783496,0,0,1,0,1,12.864236223691407,2.0587843833185446,103.0,,,,124091.10020390328,11.728771253906356,1,0,0,1,1
Hayes Valley,2017,418318.0,797247.5693524258,9266.0,4679,1.0,0.0,1922.0,0.6719384483864074,0,0,1,0,1,12.943997187821706,1.9803376789912375,95.0,,,,136920.56707148772,11.827156234261953,1,0,0,1,1
Hayes Valley,2018,475917.0,865868.889147944,9281.0,4718,1.0,0.0,1922.0,0.6748622297583722,0,0,1,0,1,13.072998748261487,1.9671470962272148,96.0,198.7390350877193,10.910087719298245,131.03070175438597,155707.23501809893,11.955732824424574,1,0,0,1,1
Hayes Valley,2019,523712.0,955596.9064018592,9312.0,4733,1.0,0.0,1922.0,0.6756813860130995,0,0,1,0,1,13.168697193887054,1.967462497358969,97.0,224.78070175438597,14.089912280701755,143.6951754385965,171928.45816204746,12.054833728349843,1,0,0,1,1
Hayes Valley,2020,560783.0,981756.3158110043,9308.0,4889,1.0,0.0,1925.0,0.6856207813458784,0,0,1,0,1,13.23708930040567,1.9038658212313357,95.0,181.9627192982456,9.26535087719298,120.28508771929825,178832.56242456753,12.094205241608858,1,0,0,1,1
Hayes Valley,2021,596142.5,1013988.6374591503,9178.0,4896,1.0,0.0,1925.0,0.6862745098039216,0,0,1,0,1,13.298235011428813,1.8745915032679739,96.0,180.86622807017545,12.609649122807015,114.19956140350877,191537.37098707873,12.162838217321386,1,0,0,1,1
Hayes Valley,2022,627708.0,1070022.4263329264,9282.0,4914,1.0,0.0,1925.0,0.6876271876271877,0,0,1,0,1,13.349830369166257,1.8888888888888888,97.0,190.0767543859649,13.81578947368421,123.46491228070175,208258.8749146525,12.246537175758013,1,0,0,1,1
Hayes Valley,2023,662871.5,1126655.6125101543,9307.0,4924,1.0,0.0,1925.0,0.6882615759545085,0,0,1,0,1,13.40433643439532,1.8901299756295695,98.0,201.42543859649123,12.06140350877193,131.140350877193,212931.9354184767,12.268727841598004,1,0,0,1,1
Inner Richmond,2009,443056.0,616397.5003419193,9531.0,4387,2.0,0.0,1912.0,0.9489400501481651,0,0,0,0,0,13.001451451873312,2.172555276954639,97.0,,,,,,0,0,0,0,0
Inner Richmond,2010,454494.5,627001.8218991368,9509.0,4402,2.0,0.0,1912.0,0.9488868696047251,0,0,0,0,0,13.02694109131633,2.160154475238528,98.0,,,,,,0,0,0,0,0
Inner Richmond,2011,466310.0,642672.7925085131,9500.0,4405,2.0,0.0,1912.0,0.9489216799091941,0,0,0,0,0,13.052605927987864,2.1566401816118046,99.0,,,,,,0,0,0,0,0
Inner Richmond,2012,494835.0,667309.8936410953,9484.0,4419,2.0,0.0,1912.0,0.9484046164290564,0,0,0,0,0,13.11197965264959,2.1461869201176738,100.0,,,,,,0,0,0,0,0
Inner Richmond,2013,519302.0,693663.7098737601,9470.0,4436,2.0,0.0,1912.0,0.9488277727682597,0,0,0,0,0,13.160240881163334,2.1348061316501354,101.0,,,,74591.74225975071,11.219785086495841,0,0,0,0,0
Inner Richmond,2015,570074.5,758328.6681614349,9452.0,4460,2.0,0.0,1912.0,0.9511210762331839,0,0,0,0,1,13.253522333024389,2.1192825112107623,103.0,,,,79769.71142913154,11.28689915536236,1,0,0,0,0
Inner Richmond,2016,602757.0,799695.1994187346,9457.0,4473,2.0,0.0,1912.0,0.9510395707578806,0,0,0,0,1,13.309269409414389,2.1142410015649453,104.0,,,,88356.1157811261,11.389130697549335,1,0,0,0,0
Inner Richmond,2017,634113.0,851637.2902362907,9437.0,4486,2.0,0.0,1912.0,0.9514043691484618,0,0,0,0,1,13.359982450976156,2.103655818100758,105.0,,,,97780.3914393866,11.490479339391003,1,0,0,0,0
Inner Richmond,2018,670331.0,919843.9521584335,9439.0,4494,2.0,0.0,1912.0,0.951935914552737,0,0,0,0,1,13.415526899225325,2.100356030262572,106.0,85.18829277923103,4.442031489067667,42.29801095701101,100652.61010323744,11.519430363203007,1,0,0,0,0
Inner Richmond,2019,711218.0,984092.5262338817,9444.0,4498,2.0,0.0,1912.0,0.9519786571809693,0,0,0,0,1,13.474734272197889,2.099599822143175,107.0,86.71832584768767,6.021420462958393,44.76580622871527,108989.31496062993,11.599005128522105,1,0,0,0,0
Inner Richmond,2020,744302.0,1042564.5800221976,9434.0,4505,2.0,0.0,1912.0,0.9520532741398446,0,0,0,0,1,13.52020214543293,2.0941176470588236,108.0,74.47806130003455,4.047184245594986,44.9632298504516,138684.73413669743,11.839958536342762,1,0,0,0,0
Inner Richmond,2021,771465.0,1081977.4038589487,9447.0,4509,2.0,0.0,1912.0,0.9520958083832335,0,0,0,0,1,13.556046583586477,2.0951430472388557,109.0,76.64972113913429,5.0836582597107745,41.06411332115888,137015.01856763926,11.827845823383235,1,0,0,0,0
Inner Richmond,2022,809746.0,1147507.233429395,9459.0,4511,2.0,0.0,1912.0,0.9530037685657282,0,0,0,0,1,13.604475897225141,2.096874307248947,110.0,78.92009278910221,5.626573219485712,42.49543457874735,163595.6562113083,12.00515315152267,1,0,0,0,0
Inner Richmond,2023,854036.0,1212835.1885663639,9457.0,4513,2.0,0.0,1912.0,0.9532461777088411,0,0,0,0,1,13.657728626448973,2.0955018834478176,111.0,72.89867232614382,3.5536251912541337,41.75509599723607,160927.43267973856,11.988708813660612,1,0,0,0,0
Inner Sunset,2009,392831.5,510798.358556461,12047.0,6872,2.0,0.0,1936.0,0.9730791618160652,0,0,0,0,0,12.88113604572981,1.7530558789289872,73.0,,,,,,0,0,0,0,0
Inner Sunset,2010,403790.0,520022.849797219,12021.0,6904,2.0,0.0,1936.0,0.9734936268829664,0,0,0,0,0,12.908650219819206,1.741164542294322,74.0,,,,,,0,0,0,0,0
Inner Sunset,2011,418437.5,533104.593433613,12004.0,6914,2.0,0.0,1936.0,0.9735319641307492,0,0,0,0,0,12.944282814867629,1.7361874457622215,75.0,,,,,,0,0,0,0,0
Inner Sunset,2012,437347.0,558380.4276439187,11980.0,6931,2.0,0.0,1936.0,0.9735968835665849,0,0,0,0,0,12.98848220932979,1.7284663107776657,76.0,,,,,,0,0,0,0,0
Inner Sunset,2013,456491.0,584708.7509363296,11958.0,6942,2.0,0.0,1936.0,0.973638720829732,0,0,0,0,0,13.031324263598279,1.7225583405358686,77.0,,,,83193.23762815676,11.328921344998292,0,0,0,0,0
Inner Sunset,2015,495452.0,642359.2305591491,11943.0,6957,2.0,0.0,1936.0,0.9742705189018255,0,0,0,0,1,13.113225756213179,1.7166882276843467,79.0,,,,85283.93374588888,11.353741365750103,1,0,0,0,0
Inner Sunset,2016,513970.0,673268.3496202894,11920.0,6979,2.0,0.0,1936.0,0.9752113483307064,0,0,0,0,1,13.1499201769752,1.7079810861154894,80.0,,,,92930.96294027564,11.439612162493564,1,0,0,0,0
Inner Sunset,2017,538302.0,710740.7655892449,11902.0,6992,2.0,0.0,1936.0,0.9752574370709383,0,0,0,0,1,13.196175019942482,1.7022311212814645,81.0,,,,103209.3757678458,11.544514978366568,1,0,0,0,0
Inner Sunset,2018,570857.0,770944.9478347864,11907.0,6997,2.0,0.0,1936.0,0.9755609546948693,0,0,0,0,1,13.254894019444986,1.7017293125625268,82.0,51.82683228009007,3.413960921043074,26.367400305077357,106853.67397972224,11.579215644617765,1,0,0,0,0
Inner Sunset,2019,606520.0,823997.0656111825,11883.0,7011,2.0,0.0,1936.0,0.9758950221081159,0,0,0,0,1,13.315492982914876,1.694908001711596,83.0,55.96716786518486,3.413960921043074,30.326142224159224,118592.47558989353,11.683448319940329,1,0,0,0,0
Inner Sunset,2020,639236.0,874461.2656405872,11875.0,7017,2.0,0.0,1936.0,0.9759156334615933,0,0,0,0,1,13.36802899224877,1.692318654695739,84.0,49.64770828793492,2.9054986562068716,31.56097915304714,117668.944321162,11.675630403897054,1,0,0,0,0
Inner Sunset,2021,666558.0,907733.9252988048,11865.0,7028,2.0,0.0,1936.0,0.975953329538987,0,0,0,0,1,13.409882436570166,1.6882470119521913,85.0,52.11738214571075,2.796542456599114,34.175927943633326,127908.33588135372,11.759069160434175,1,0,0,0,0
Inner Sunset,2022,702801.0,971751.777414308,11871.0,7031,2.0,0.0,1936.0,0.9758213625373346,0,0,0,0,1,13.462829058173975,1.6883800312900015,86.0,49.39347715551681,2.614948790586185,31.270429287426452,142981.41808335617,11.870469957325627,1,0,0,0,0
Inner Sunset,2023,743606.0,1026567.8445994023,11864.0,7027,2.0,0.0,1936.0,0.9768037569375266,0,0,0,0,1,13.519266603651095,1.6883449551729046,87.0,55.96716786518486,3.1960485218275587,34.86598387448245,152924.47527706734,11.937699452861246,1,0,0,0,0
