analysis_neighborhood,year,total_crime,violent_crime,property_crime,total_units,median_value,parcel_count,pct_residential,log_median_value,density,population,pop_white,pop_hispanic,pop_black,pop_asian,median_hh_income,log_income,crime_rate,violent_rate,property_rate,pct_white,pct_hispanic,pct_black,pct_asian,in_hospitality_zone
Hayes Valley,2019,4100,257,2621,9312.0,523712.0,4733.0,0.6756813860130995,13.168697193887054,1.967462497358969,18240.0,53373.0,95084.0,7075.0,16790.0,171928.45816204746,12.054833728349843,224.78070175438597,14.089912280701755,143.6951754385965,2.9261513157894736,5.212938596491228,0.38788377192982454,0.9205043859649122,0
Hayes Valley,2020,3319,169,2194,9308.0,560783.0,4889.0,0.6856207813458784,13.23708930040567,1.9038658212313357,18240.0,53373.0,95084.0,7075.0,16790.0,178832.56242456753,12.094205241608858,181.96271929824562,9.265350877192981,120.28508771929825,2.9261513157894736,5.212938596491228,0.38788377192982454,0.9205043859649122,0
Hayes Valley,2021,3299,230,2083,9178.0,596142.5,4896.0,0.6862745098039216,13.298235011428813,1.8745915032679739,18240.0,53373.0,95084.0,7075.0,16790.0,191537.37098707873,12.162838217321386,180.86622807017545,12.609649122807017,114.19956140350877,2.9261513157894736,5.212938596491228,0.38788377192982454,0.9205043859649122,0
Hayes Valley,2022,3467,252,2252,9282.0,627708.0,4914.0,0.6876271876271877,13.349830369166257,1.8888888888888888,18240.0,53373.0,95084.0,7075.0,16790.0,208258.8749146525,12.246537175758013,190.0767543859649,13.81578947368421,123.46491228070175,2.9261513157894736,5.212938596491228,0.38788377192982454,0.9205043859649122,0
Hayes Valley,2023,3674,220,2392,9307.0,662871.5,4924.0,0.6882615759545085,13.40433643439532,1.8901299756295695,18240.0,53373.0,95084.0,7075.0,16790.0,212931.9354184767,12.268727841598004,201.42543859649123,12.06140350877193,131.140350877193,2.9261513157894736,5.212938596491228,0.38788377192982454,0.9205043859649122,0
Inner Richmond,2018,1726,90,857,9439.0,670331.0,4494.0,0.951935914552737,13.415526899225325,2.100356030262572,20261.0,50602.0,105603.0,0.0,39969.0,100652.61010323744,11.519430363203007,85.18829277923103,4.442031489067667,42.29801095701101,2.497507526775579,5.212131681555698,0.0,1.972706184294951,0
Inner Richmond,2019,1757,122,907,9444.0,711218.0,4498.0,0.9519786571809693,13.474734272197889,2.099599822143175,20261.0,50602.0,105603.0,0.0,39969.0,108989.31496062993,11.599005128522105,86.71832584768767,6.021420462958393,44.76580622871527,2.497507526775579,5.212131681555698,0.0,1.972706184294951,0
Inner Richmond,2020,1509,82,911,9434.0,744302.0,4505.0,0.9520532741398446,13.52020214543293,2.0941176470588236,20261.0,50602.0,105603.0,0.0,39969.0,138684.73413669743,11.839958536342762,74.47806130003455,4.047184245594986,44.963229850451604,2.497507526775579,5.212131681555698,0.0,1.972706184294951,0
Inner Richmond,2021,1553,103,832,9447.0,771465.0,4509.0,0.9520958083832335,13.556046583586477,2.0951430472388557,20261.0,50602.0,105603.0,0.0,39969.0,137015.01856763926,11.827845823383235,76.64972113913429,5.0836582597107745,41.06411332115888,2.497507526775579,5.212131681555698,0.0,1.972706184294951,0
Inner Richmond,2022,1599,114,861,9459.0,809746.0,4511.0,0.9530037685657282,13.604475897225141,2.096874307248947,20261.0,50602.0,105603.0,0.0,39969.0,163595.6562113083,12.00515315152267,78.92009278910221,5.626573219485712,42.49543457874735,2.497507526775579,5.212131681555698,0.0,1.972706184294951,0
Inner Richmond,2023,1477,72,846,9457.0,854036.0,4513.0,0.9532461777088411,13.657728626448973,2.0955018834478176,20261.0,50602.0,105603.0,0.0,39969.0,160927.43267973856,11.988708813660612,72.89867232614382,3.5536251912541337,41.75509599723607,2.497507526775579,5.212131681555698,0.0,1.972706184294951,0
Inner Sunset,2018,1427,94,726,11907.0,570857.0,6997.0,0.9755609546948693,13.254894019444986,1.7017293125625268,27534.0,65821.0,140258.0,3273.0,47851.0,106853.67397972224,11.579215644617765,51.82683228009007,3.413960921043074,26.367400305077357,2.390535338127406,5.093992881528292,0.11887121377206362,1.7378877024769377,0
Inner Sunset,2019,1541,94,835,11883.0,606520.0,7011.0,0.9758950221081159,13.315492982914876,1.694908001711596,27534.0,65821.0,140258.0,3273.0,47851.0,118592.47558989353,11.683448319940329,55.96716786518486,3.413960921043074,30.326142224159224,2.390535338127406,5.093992881528292,0.11887121377206362,1.7378877024769377,0
Inner Sunset,2020,1367,80,869,11875.0,639236.0,7017.0,0.9759156334615933,13.36802899224877,1.692318654695739,27534.0,65821.0,140258.0,3273.0,47851.0,117668.944321162,11.675630403897054,49.64770828793492,2.9054986562068716,31.56097915304714,2.390535338127406,5.093992881528292,0.11887121377206362,1.7378877024769377,0
Inner Sunset,2021,1435,77,941,11865.0,666558.0,7028.0,0.975953329538987,13.409882436570166,1.6882470119521913,27534.0,65821.0,140258.0,3273.0,47851.0,127908.33588135372,11.759069160434175,52.117382145710756,2.796542456599114,34.175927943633326,2.390535338127406,5.093992881528292,0.11887121377206362,1.7378877024769377,0
Inner Sunset,2022,1360,72,861,11871.0,702801.0,7031.0,0.9758213625373346,13.462829058173975,1.6883800312900015,27534.0,65821.0,140258.0,3273.0,47851.0,142981.41808335617,11.870469957325627,49.39347715551681,2.6149487905861846,31.270429287426452,2.390535338127406,5.093992881528292,0.11887121377206362,1.7378877024769377,0
Inner Sunset,2023,1541,88,960,11864.0,743606.0,7027.0,0.9768037569375266,13.519266603651095,1.6883449551729046,27534.0,65821.0,140258.0,3273.0,47851.0,152924.47527706734,11.937699452861246,55.96716786518486,3.1960485218275587,34.86598387448245,2.390535338127406,5.093992881528292,0.11887121377206362,1.7378877024769377,0
Japantown,2018,1100,47,779,2553.0,209500.0,880.0,0.8272727272727273,12.25247901834433,2.901136363636364,3936.0,7620.0,13579.0,0.0,5959.0,,,279.4715447154472,11.941056910569106,197.91666666666666,1.9359756097560976,3.4499491869918697,0.0,1.5139735772357723,0
Japantown,2019,1258,60,891,2479.0,215864.0,881.0,0.8286038592508513,12.282403858736696,2.8138479001135073,3936.0,7620.0,13579.0,0.0,5959.0,,,319.6138211382114,15.24390243902439,226.3719512195122,1.9359756097560976,3.4499491869918697,0.0,1.5139735772357723,0
Japantown,2020,699,38,492,2479.0,290562.0,881.0,0.8286038592508513,12.579572257631288,2.8138479001135073,3936.0,7620.0,13579.0,0.0,5959.0,,,177.59146341463415,9.654471544715447,125.0,1.9359756097560976,3.4499491869918697,0.0,1.5139735772357723,0
Japantown,2021,913,49,636,2407.0,293699.0,880.0,0.8284090909090909,12.59031071234605,2.735227272727273,3936.0,7620.0,13579.0,0.0,5959.0,,,231.96138211382114,12.449186991869919,161.58536585365854,1.9359756097560976,3.4499491869918697,0.0,1.5139735772357723,0
Japantown,2022,1214,62,890,2405.0,299704.0,881.0,0.8286038592508513,12.610550599895701,2.7298524404086266,3936.0,7620.0,13579.0,0.0,5959.0,,,308.4349593495935,15.752032520325201,226.11788617886177,1.9359756097560976,3.4499491869918697,0.0,1.5139735772357723,0
Japantown,2023,900,62,615,2405.0,307430.0,881.0,0.8286038592508513,12.636002698037851,2.7298524404086266,3936.0,7620.0,13579.0,0.0,5959.0,,,228.65853658536585,15.752032520325201,156.25,1.9359756097560976,3.4499491869918697,0.0,1.5139735772357723,0
Lakeshore,2018,1614,121,992,4147.0,1045602.0,483.0,0.8612836438923396,13.860103354067673,8.58592132505176,12019.0,20978.0,65500.0,4823.0,21098.0,,,134.2873783176637,10.067393293951245,82.53598469090606,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2019,1803,113,1136,3611.0,1109571.0,490.0,0.8612244897959184,13.919484012096879,7.369387755102041,12019.0,20978.0,65500.0,4823.0,21098.0,,,150.0124802396206,9.401780514185873,94.51701472668275,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2020,1208,97,687,3611.0,1153869.0,489.0,0.8629856850715747,13.95863120140893,7.384458077709612,12019.0,20978.0,65500.0,4823.0,21098.0,,,100.5075297445711,8.07055495465513,57.159497462351275,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2021,1516,142,854,3611.0,1181000.0,489.0,0.8629856850715747,13.981872095179499,7.384458077709612,12019.0,20978.0,65500.0,4823.0,21098.0,,,126.13362176553791,11.814626840835343,71.05416423995341,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2022,1914,99,1264,3611.0,1224655.0,488.0,0.8647540983606558,14.01816972964198,7.399590163934426,12019.0,20978.0,65500.0,4823.0,21098.0,,,159.24785755886515,8.236958149596472,105.16681920292869,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2023,1925,152,1176,3611.0,1256204.0,488.0,0.8647540983606558,14.043605033203685,7.399590163934426,12019.0,20978.0,65500.0,4823.0,21098.0,,,160.16307513104252,12.646642815542059,97.8450786255096,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lincoln Park,2018,153,1,117,60.0,557921.0,41.0,1.0,13.231972654279538,1.4634146341463414,179.0,0.0,105.0,0.0,105.0,,,854.7486033519554,5.58659217877095,653.6312849162011,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lincoln Park,2019,210,3,170,60.0,628981.0,41.0,1.0,13.351856328549081,1.4634146341463414,179.0,0.0,105.0,0.0,105.0,,,1173.1843575418993,16.75977653631285,949.7206703910615,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lincoln Park,2020,184,4,139,60.0,699214.0,41.0,1.0,13.457712126006303,1.4634146341463414,179.0,0.0,105.0,0.0,105.0,,,1027.9329608938547,22.3463687150838,776.5363128491621,0.0,0.5865921787709497,0.0,0.5865921787709497,0
